Date for end of week:,,1/27/2017,,,,,,
,,,,,,,,
,,,,,,,,
Partner,DFP Imp,Ad Revenue,CPM,Imp discrepancy,Revenue discrepancy,WoW revenue % Δ,WoW impression % Δ,WoW CPM % Δ 
Abra,19244614," $ 40,674.53 ",$2.11,3.82%,3.76%,7.94%,5.64%,9.46%
Arbok,17098683," $ 26,400.44 ",$1.54,4.12%,3.36%,22.66%,27.11%,9.79%
Diglett Media,43220648," $ 47,539.41 ",$1.10,7.72%,9.71%,31.72%,29.60%,7.41%
Ivysaur,49136754," $ 56,591.86 ",$1.15,4.80%,4.81%,29.81%,24.43%,2.42%
Onix,37124450," $ 36,667.12 ",$0.99,3.09%,3.07%,27.11%,19.29%,6.83%
Snorlax/Snorlax Tagless,19957287," $ 21,260.19 ",$1.07,6.22%,8.24%,26.05%,25.79%,8.60%
SPEAROW,80473973," $ 104,708.45 ",$1.30,4.21%,3.51%,20.02%,18.96%,2.29%
Total:,266256409," $ 333,842.00 ",$1.25,4.86%,5.21%,23.62%,21.55%,6.69%
,,,,,,,,
,,,,,,,,
,,,,,Revenue discrepancy,,,
 ,,,,,"$1,589.06",,,
,,,,,$917.56,,,
,,,,,"$5,109.70",,,
,,,,,"$2,857.95",,,
,,,,,"$1,160.68",,,
,,,,,"$1,910.11",,,
,,,,,"$3,812.30",,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Imp discrepancy,,,
,,,,,734492,,,
,,,,,704583,,,
,,,,,3337822,,,
,,,,,2358902,,,
,,,,,1146344,,,
,,,,,1242154,,,
,,,,,3391687,,,
