,,,Abra,Abra, Abra , Abra ,Arbok,Arbok, Arbok , Arbok ,Diglett Media,Diglett Media, Diglett Media , Diglett Media ,Ivysaur,Ivysaur, Ivysaur , Ivysaur ,Onix,Onix, Onix , Onix ,Snorlax,Snorlax, Snorlax , Snorlax ,Snorlax Tagless,Snorlax Tagless, Snorlax Tagless , Snorlax Tagless ,SPEAROW,SPEAROW, SPEAROW , SPEAROW 
Mth,Date,Site,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue 
1,1/1/2016,BibMe,39125,0, $ 121.08 , $ -   ,19343,0, $ 39.43 , $ -   ,0,0, $ -   , $ -   ,14624,0, $ 55.34 , $ -   ,52824,0, $ 101.31 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/1/2016,CitationMachine,155468,0, $ 502.04 , $ -   ,124385,0, $ 212.24 , $ -   ,0,0, $ -   , $ -   ,43477,0, $ 178.61 , $ -   ,371821,0, $ 646.30 , $ -   ,92172,0, $ 170.73 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/1/2016,EasyBib,149563,0, $ 491.82 , $ -   ,96620,0, $ 170.24 , $ -   ,0,0, $ -   , $ -   ,50486,0, $ 197.67 , $ -   ,297372,0, $ 530.50 , $ -   ,31674,0, $ 65.56 , $ -   ,0,0, $ -   , $ -   ,162674,167609, $ 446.25 , $ 491.15 
1,1/2/2016,BibMe,57250,0, $ 165.34 , $ -   ,28073,0, $ 55.00 , $ -   ,0,0, $ -   , $ -   ,22751,0, $ 90.68 , $ -   ,79202,0, $ 155.68 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/2/2016,CitationMachine,227063,0, $ 715.17 , $ -   ,196418,0, $ 327.30 , $ -   ,0,0, $ -   , $ -   ,69514,0, $ 302.06 , $ -   ,595305,0," $ 1,035.96 ", $ -   ,139068,0, $ 258.10 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/2/2016,EasyBib,231047,0, $ 742.96 , $ -   ,166000,0, $ 276.23 , $ -   ,0,0, $ -   , $ -   ,89478,0, $ 360.85 , $ -   ,452684,0, $ 768.61 , $ -   ,56168,0, $ 129.66 , $ -   ,0,0, $ -   , $ -   ,232284,238346, $ 671.43 , $ 744.12 
1,1/3/2016,BibMe,118840,0, $ 357.06 , $ -   ,56506,0, $ 106.92 , $ -   ,0,0, $ -   , $ -   ,36621,0, $ 141.22 , $ -   ,135363,0, $ 254.27 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/3/2016,CitationMachine,509796,0," $ 1,569.96 ", $ -   ,361144,0, $ 535.15 , $ -   ,0,0, $ -   , $ -   ,134274,0, $ 572.39 , $ -   ,1056755,0," $ 1,776.25 ", $ -   ,297409,0, $ 508.54 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/3/2016,EasyBib,603417,0," $ 1,867.71 ", $ -   ,345844,0, $ 514.49 , $ -   ,0,0, $ -   , $ -   ,142205,0, $ 552.02 , $ -   ,942270,0," $ 1,583.15 ", $ -   ,110456,0, $ 220.93 , $ -   ,0,0, $ -   , $ -   ,507079,526984," $ 1,469.87 "," $ 1,615.93 "
1,1/4/2016,BibMe,101667,0, $ 246.47 , $ -   ,70183,0, $ 131.74 , $ -   ,0,0, $ -   , $ -   ,41411,0, $ 122.45 , $ -   ,161321,0, $ 272.48 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/4/2016,CitationMachine,402904,0, $ 983.86 , $ -   ,437532,0, $ 648.79 , $ -   ,0,0, $ -   , $ -   ,163670,0, $ 503.34 , $ -   ,1078410,0," $ 1,772.72 ", $ -   ,283294,0, $ 481.97 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
