,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue 
Date,SUM of Abra_1,SUM of Abra_2,SUM of  Abra_3 ,SUM of  Abra_4 ,SUM of Arbok_1,SUM of Arbok_2,SUM of  Arbok_3 ,SUM of  Arbok_4 ,SUM of Diglett Media_1,SUM of Diglett Media_2,SUM of  Diglett Media_3 ,SUM of  Diglett Media_4 ,SUM of Ivysaur_1,SUM of Ivysaur_2,SUM of  Ivysaur_3 ,SUM of  Ivysaur_4 ,SUM of Onix_1,SUM of Onix_2,SUM of  Onix_3 ,SUM of  Onix_4 ,SUM of Snorlax_1,SUM of Snorlax_2,SUM of  Snorlax_3 ,SUM of  Snorlax_4 ,SUM of SPEAROW_1,SUM of SPEAROW_2,SUM of  SPEAROW_3 ,SUM of  SPEAROW_4 
1/1/2016,344156,0," $ 1,114.93 ", $ -   ,240349,0, $ 421.91 , $ -   ,0,0, $ -   , $ -   ,108587,0, $ 431.61 , $ -   ,722016,0," $ 1,278.11 ", $ -   ,123846,0, $ 236.28 , $ -   ,162674,167609, $ 446.25 , $ 491.15 
1/2/2016,515359,0," $ 1,623.47 ", $ -   ,390491,0, $ 658.53 , $ -   ,0,0, $ -   , $ -   ,181742,0, $ 753.59 , $ -   ,1127190,0," $ 1,960.24 ", $ -   ,195236,0, $ 387.76 , $ -   ,232284,238346, $ 671.43 , $ 744.12 
1/3/2016,1232053,0," $ 3,794.72 ", $ -   ,763494,0," $ 1,156.55 ", $ -   ,0,0, $ -   , $ -   ,313099,0," $ 1,265.63 ", $ -   ,2134388,0," $ 3,613.67 ", $ -   ,407865,0, $ 729.47 , $ -   ,507079,526984," $ 1,469.87 "," $ 1,615.93 "
1/4/2016,1067190,0," $ 2,557.19 ", $ -   ,1024802,0," $ 1,517.52 ", $ -   ,0,0, $ -   , $ -   ,511182,0," $ 1,442.97 ", $ -   ,2551853,0," $ 4,174.05 ", $ -   ,469957,0, $ 816.29 , $ -   ,630465,629584," $ 1,886.32 "," $ 2,059.84 "
1/5/2016,758529,0," $ 1,380.16 ", $ -   ,1272022,0," $ 1,807.17 ", $ -   ,0,0, $ -   , $ -   ,716601,0," $ 1,765.95 ", $ -   ,2941597,0," $ 4,607.37 ", $ -   ,595602,0," $ 1,035.36 ", $ -   ,769614,758172," $ 2,049.84 "," $ 2,136.06 "
1/6/2016,969663,0," $ 1,929.62 ", $ -   ,1575819,0," $ 2,061.40 ", $ -   ,0,0, $ -   , $ -   ,765214,0," $ 1,869.82 ", $ -   ,3120132,0," $ 4,897.65 ", $ -   ,823107,0," $ 1,342.63 ", $ -   ,822910,819209," $ 2,264.50 "," $ 2,348.08 "
1/7/2016,1198859,0," $ 2,417.72 ", $ -   ,2012924,0," $ 2,652.66 ", $ -   ,0,0, $ -   , $ -   ,1003181,0," $ 2,555.45 ", $ -   ,4004406,0," $ 6,840.69 ", $ -   ,864194,0," $ 1,475.00 ", $ -   ,736064,737427," $ 2,627.91 "," $ 2,818.49 "
1/8/2016,923864,0," $ 2,231.79 ", $ -   ,1389116,0," $ 1,867.37 ", $ -   ,0,0, $ -   , $ -   ,689926,0," $ 1,720.76 ", $ -   ,3258386,0," $ 5,485.24 ", $ -   ,608929,0," $ 1,114.00 ", $ -   ,789274,715037," $ 2,277.50 "," $ 2,054.38 "
1/9/2016,493533,0," $ 1,157.97 ", $ -   ,668297,0," $ 1,070.04 ", $ -   ,0,0, $ -   , $ -   ,377718,0," $ 1,098.47 ", $ -   ,1523219,0," $ 3,006.68 ", $ -   ,451740,0, $ 891.36 , $ -   ,339251,336954," $ 1,069.15 "," $ 1,117.20 "
1/10/2016,1121501,0," $ 2,321.39 ", $ -   ,1757937,0," $ 2,523.11 ", $ -   ,0,0, $ -   , $ -   ,937287,0," $ 2,565.96 ", $ -   ,3652969,0," $ 6,576.23 ", $ -   ,962862,0," $ 1,792.00 ", $ -   ,904687,963401," $ 2,725.36 "," $ 3,024.33 "
1/11/2016,1213858,0," $ 2,559.94 ", $ -   ,2065395,0," $ 2,603.72 ", $ -   ,0,0, $ -   , $ -   ,1005882,0," $ 2,545.78 ", $ -   ,3932584,0," $ 6,440.22 ", $ -   ,977780,0," $ 1,749.38 ", $ -   ,911354,854491," $ 2,780.88 "," $ 2,769.32 "
1/12/2016,1460287,0," $ 3,216.65 ", $ -   ,2131456,0," $ 2,794.11 ", $ -   ,0,0, $ -   , $ -   ,1018934,0," $ 2,482.27 ", $ -   ,4315951,0," $ 7,287.80 ", $ -   ,1162503,0," $ 2,230.94 ", $ -   ,1101815,1099894," $ 3,123.89 "," $ 3,227.17 "
1/13/2016,1635039,0," $ 3,480.10 ", $ -   ,2078231,0," $ 2,733.57 ", $ -   ,0,0, $ -   , $ -   ,1044540,0," $ 2,661.88 ", $ -   ,4237493,0," $ 7,023.75 ", $ -   ,1754745,0," $ 3,684.42 ", $ -   ,1106245,1094115," $ 3,190.90 "," $ 3,351.67 "
